delivery_id,customer_name,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
1082,Jill Ray,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,37:24.0,33:48.0,yes,failed,2,1458.24
1083,Andrew Morrison,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,56:06.0,56:54.0,no,delivered,4,551.44
1084,Jeffrey Chen,shadowfax,electronics,van,two day,south,clear,244,13.62,10:00.0,12:24.0,no,delivered,4,1260.86
1085,Julian Jones,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,19:30.0,20:48.0,no,delivered,4,498.31
1086,Leah Price,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,08:00.0,08:24.0,no,delivered,4,172.6
1087,William Smith,ekart,furniture,van,two day,south,cold,3.6,8.75,48:12.0,48:24.0,no,delivered,3,95.6674
1088,Douglas Morton,xpressbees,documents,van,standard,east,rainy,111,36.68,20:30.0,23:06.0,no,delivered,4,665.04
1089,Steven Perez,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,58:30.0,49:36.0,yes,delayed,3,1432.59
1090,Lindsey Thompson,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,24:36.0,25:48.0,no,delivered,5,1049.98
1091,Michael Shepherd,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,06:54.0,08:24.0,no,delivered,4,1045.27
1092,Angela Morgan,amazon logistics,furniture,ev bike,standard,central,cold,125,39.41,23:30.0,24:30.0,no,delivered,5,743.23
1093,Brendan Hill,dhl,fragile items,bike,two day,north,hot,83.3,34.71,55:54.0,56:18.0,no,delivered,4,520.63
1094,Alexis Kim,ecom express,clothing,van,standard,west,foggy,193.2,33.28,30:48.0,31:18.0,no,delivered,4,1065.84
1095,Steven Anderson,ekart,clothing,van,two day,east,foggy,174.3,47.29,02:36.0,05:24.0,no,delivered,5,1013.37
1096,Meghan Fischer,ekart,groceries,bike,same day,west,clear,11.4,40.22,08:00.0,09:06.0,no,delivered,5,277.66
1097,Abigail Miller,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,55:42.0,40:36.0,yes,delayed,2,1016.88
1098,Sarah Robertson,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,29:24.0,31:00.0,no,delivered,5,1062.21
1099,Toni Patel,blue dart,groceries,truck,express,west,stormy,111.2,37.33,38:42.0,35:06.0,yes,delayed,2,717.99
1100,Kyle Mccullough,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,13:00.0,18:18.0,no,delivered,5,729.91
1101,Megan Parker,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,34:00.0,35:36.0,no,delivered,4,1323.84
1102,Zachary Mckay,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,18:18.0,19:12.0,no,delivered,5,738.52
1103,Heidi Boyd,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,17:18.0,20:42.0,no,delivered,5,494.92
1104,Edwin Griffin,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,35:36.0,35:36.0,no,delivered,5,1322.21
1105,Kenneth Stokes,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,37:24.0,37:36.0,no,delivered,4,1632.7206
1106,Toni Lamb,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,53:24.0,53:36.0,no,delivered,5,412.45
1107,Jonathan Wyatt,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,56:48.0,59:24.0,no,delivered,5,657.46
1108,Sabrina Davis,fedex,furniture,scooter,same day,north,hot,3.6,31.41,07:42.0,08:24.0,no,delivered,4,203.23
1109,Kyle Burke,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,25:30.0,22:36.0,yes,failed,2,898.65
1110,Annette Meyer,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,16:24.0,16:36.0,no,delivered,4,560.07
1111,Patricia Wells,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,04:00.0,48:48.0,yes,failed,2,1305.19
1112,Douglas Soto,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,39:24.0,39:30.0,no,delivered,4,1376.46
1113,Jeremiah Morse,fedex,electronics,scooter,standard,west,clear,35.7,10.8,13:00.0,15:36.0,no,delivered,3,210.9
1114,Douglas Ferguson,fedex,documents,van,express,central,stormy,259.3,27.01,03:36.0,49:54.0,yes,failed,1,1427.53
1115,Ryan Jacobs,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,13:06.0,14:30.0,no,delivered,5,561.77
1116,Michael Benson,delhivery,cosmetics,van,express,south,clear,93.1,20.89,33:12.0,33:18.0,no,delivered,3,578.17
1117,Katherine Mcdonald,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,37:12.0,38:36.0,no,delivered,5,1425.33
1118,John Carrillo MD,ekart,furniture,truck,two day,west,clear,110.2,23.24,56:54.0,59:00.0,no,delivered,4,620.72
1119,Jennifer Manning,blue dart,documents,bike,standard,west,clear,6,0.88,11:00.0,12:36.0,no,delivered,4,95.6674
1120,Victoria Hobbs,dhl,furniture,truck,two day,east,foggy,16.5,21.49,49:30.0,49:36.0,no,delivered,4,146.97
1121,Erin Day,xpressbees,documents,ev van,standard,north,cold,102,18.67,19:54.0,22:12.0,no,delivered,4,566.01
1122,Marcus Sutton,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,57:42.0,50:30.0,yes,delayed,3,1424.88
1123,Laura Mcmahon,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,49:12.0,50:48.0,no,delivered,5,183.79
1124,Sean Andrews,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,53:24.0,54:00.0,no,delivered,3,320.87
1125,Kyle Jordan,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,50:30.0,53:00.0,no,delivered,4,1588.78
1126,Diana Yoder,delhivery,clothing,scooter,standard,east,rainy,124,40.2,22:12.0,24:24.0,no,delivered,4,740.6
1127,Ashley Horn,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,13:54.0,14:12.0,no,delivered,4,1434.54
1128,Kelly Carrillo,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,59:18.0,59:36.0,no,delivered,5,618.71
1129,Melanie Williams,shadowfax,groceries,ev bike,express,east,hot,156,14.49,35:18.0,39:36.0,no,delivered,3,873.47
1130,Dr. Jennifer Smith DVM,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,38:42.0,40:24.0,no,delivered,4,1463.55
1131,Kurt Howard,fedex,clothing,truck,same day,north,cold,287,8.21,48:54.0,36:42.0,yes,failed,1,1559.63
1132,Andrea Taylor,delhivery,electronics,van,two day,north,foggy,50.5,31.28,52:42.0,53:00.0,no,delivered,4,346.34
1133,Christopher Kramer,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,05:36.0,08:18.0,no,delivered,4,1039
1134,Lawrence Macias,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,18:18.0,20:48.0,no,delivered,3,799.09
1135,Wesley Browning,ekart,groceries,scooter,two day,east,cold,45.8,27.22,51:12.0,52:36.0,no,delivered,5,310.66
1136,Deanna Butler,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,08:48.0,08:54.0,no,delivered,5,245.29
1137,Gary Diaz,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,25:36.0,27:18.0,no,delivered,4,909.11
1138,Joel Cox,dhl,automobile parts,ev van,same day,south,rainy,29,40.89,10:48.0,10:54.0,no,delivered,4,367.67
1139,Karen Wright,dhl,furniture,scooter,standard,north,clear,281.6,19.81,38:12.0,40:12.0,no,delivered,3,1467.43
1140,Peter Gilbert,ecom express,electronics,van,same day,east,stormy,75.7,41.47,30:24.0,15:36.0,yes,delayed,2,602.91
1141,Ian Jensen,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,23:06.0,25:12.0,no,delivered,4,705.04
1142,Gregory Wright,ekart,cosmetics,truck,standard,west,rainy,218.2,34,30:00.0,33:48.0,no,delivered,5,1193
1143,Melissa Mann,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,51:54.0,39:18.0,yes,delayed,2,845.38
1144,Michael Potter,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,19:00.0,19:24.0,no,delivered,3,734.85
1145,Randy Jones,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,29:00.0,30:54.0,no,delivered,5,1038.84
1146,Alexa Smith,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,52:54.0,54:00.0,no,delivered,3,422.39
1147,Veronica Nelson,ekart,documents,truck,same day,south,foggy,147.7,46.57,20:00.0,22:48.0,no,delivered,4,978.21
1148,Jason Richards,amazon logistics,cosmetics,truck,two day,north,cold,289,48.99,14:24.0,16:54.0,no,delivered,4,1591.97
1149,Ana Davis,delhivery,pharmacy,van,express,north,cold,235.6,42.35,01:54.0,47:36.0,yes,delayed,3,1355.05
1150,Elizabeth Cunningham,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,16:00.0,18:06.0,no,delivered,4,634.78
1151,Sarah Walter,ekart,groceries,truck,two day,central,cold,273.9,42.56,14:12.0,15:24.0,no,delivered,3,1497.18
1152,Matthew Tanner,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,35:54.0,38:18.0,no,delivered,4,1401.08
1153,John Grant,ekart,groceries,van,two day,east,clear,82.2,18.81,54:36.0,56:12.0,no,delivered,3,467.43
1154,Carolyn Cantu,dhl,clothing,truck,same day,south,cold,280.3,15.29,34:42.0,36:00.0,no,delivered,4,1547.37
1155,Donna Cochran,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,25:48.0,22:36.0,yes,delayed,2,938.86
1156,Brenda Reid,blue dart,groceries,van,same day,west,clear,279.9,21.63,40:54.0,36:00.0,yes,failed,2,1564.39
1157,Raymond Parks,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,43:36.0,24:30.0,yes,delayed,2,1056.6
1158,Marcia Pena,fedex,electronics,van,two day,central,cold,29.9,47.31,50:36.0,51:00.0,no,delivered,3,291.43
1159,Alexander Edwards,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,16:06.0,16:18.0,no,delivered,4,346.65
1160,Jennifer Cannon,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,24:48.0,27:00.0,no,delivered,4,819.43
1161,Elizabeth Mcgee,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,10:12.0,12:48.0,no,delivered,4,174.48
1162,Steven Craig,dhl,documents,ev bike,two day,east,hot,230.8,30.01,09:30.0,11:06.0,no,delivered,4,1244.03
1163,Craig Jones,dhl,clothing,bike,express,west,clear,93,9.37,29:06.0,33:18.0,no,delivered,4,543.11
1164,Robert James,dhl,electronics,van,two day,west,clear,10.4,4.59,47:54.0,49:00.0,no,delivered,4,95.6674
1165,Christine Myers,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,04:30.0,07:30.0,no,delivered,4,981.76
1166,Alex Brown,ekart,documents,scooter,express,west,rainy,182.1,2.26,55:06.0,42:12.0,yes,delayed,2,967.28
1167,Jamie Villanueva,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,15:00.0,15:54.0,no,delivered,4,316.67
1168,Mr. Jeffrey Allen,dhl,groceries,bike,two day,north,cold,55.2,6.78,51:42.0,53:30.0,no,delivered,3,296.34
1169,Alexandra Holmes,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,01:30.0,46:18.0,yes,failed,1,1299.58
1170,Brian Mullins,delhivery,electronics,truck,express,west,hot,46.2,14.83,27:30.0,28:36.0,no,delivered,5,325.49
1171,Caitlin Perry,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,48:00.0,48:24.0,no,delivered,5,163.39
1172,Angela Buchanan,xpressbees,groceries,scooter,express,north,hot,297.1,22,51:48.0,53:42.0,no,delivered,5,1615.5
1173,Justin Freeman,xpressbees,electronics,bike,express,central,hot,87.8,7.72,31:30.0,32:48.0,no,delivered,5,512.16
1174,Jennifer Dawson,xpressbees,groceries,truck,express,central,hot,267.4,11.53,04:12.0,50:42.0,yes,delayed,2,1421.59
1175,Jennifer Delgado,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,56:48.0,00:30.0,no,delivered,4,656.52
1176,Miranda Munoz,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,51:54.0,52:54.0,no,delivered,4,1519.4
1177,Michael Anderson,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,56:54.0,01:00.0,no,delivered,4,767.02
1178,Jonathan Sharp,ecom express,fragile items,van,same day,south,foggy,225,7.32,38:54.0,30:30.0,yes,delayed,3,1246.96
1179,Glenn Chen,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,38:18.0,41:00.0,no,delivered,5,1521.58
1180,Kimberly Hanna,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,20:00.0,20:30.0,no,delivered,4,550.21
1181,Charles Rice,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,04:48.0,09:00.0,no,delivered,3,240.22
1182,Kevin Todd,fedex,automobile parts,van,standard,west,hot,135.1,37.59,25:24.0,25:30.0,no,delivered,5,788.27
1183,Benjamin Malone,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,30:48.0,34:54.0,no,delivered,4,1159.92
1184,Dwayne Joseph,fedex,documents,truck,express,north,rainy,169.6,41.44,58:18.0,41:00.0,yes,delayed,3,1022.32
1185,Joshua Mitchell,fedex,fragile items,van,express,central,foggy,250.7,29.97,52:30.0,49:06.0,yes,failed,2,1393.41
1186,Michael Wells,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,54:24.0,56:06.0,no,delivered,4,404.76
1187,Charles Harper,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,48:12.0,50:06.0,no,delivered,3,230.07
1188,Cathy Dorsey,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,51:00.0,54:42.0,no,delivered,4,434.23
1189,Tara Morton,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,16:42.0,18:54.0,no,delivered,3,349.97
1190,Kyle Norris,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,57:54.0,58:06.0,no,delivered,5,624.11
1191,April Mercer,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,55:12.0,57:24.0,no,delivered,4,619.11
1192,Julie Morgan,shadowfax,fragile items,ev bike,same day,north,foggy,71,32.56,14:12.0,15:06.0,no,delivered,3,552.68
1193,James Anderson,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,51:18.0,51:42.0,no,delivered,4,314.08
1194,Julie Avery,ecom express,fragile items,scooter,two day,north,cold,157,43.03,02:18.0,03:42.0,no,delivered,4,914.09
1195,Tina Williams,delhivery,groceries,van,same day,east,cold,213.7,49.52,27:42.0,29:24.0,no,delivered,5,1317.81
1196,Jessica Anderson,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,00:24.0,51:18.0,yes,delayed,2,1451.52
1197,John Hill,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,50:30.0,32:24.0,yes,delayed,2,539.56
1198,Dr. Andrew Cunningham,dhl,fragile items,truck,express,central,foggy,198.5,20.1,41:54.0,43:48.0,no,delivered,5,1102.8
1199,Francisco Coleman,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,51:30.0,39:54.0,yes,failed,2,948.68
1200,Amy Harvey,dhl,documents,truck,same day,north,clear,265.3,31.8,32:54.0,34:30.0,no,delivered,5,1521.9
1201,Jerry Martin,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,58:06.0,44:54.0,yes,delayed,2,1162.49
1202,Robert Moore,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,40:48.0,29:36.0,yes,failed,1,468
1203,Lynn Hamilton,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,18:18.0,20:06.0,no,delivered,3,538.48
1204,James Calderon,fedex,clothing,bike,same day,east,stormy,187.7,6.69,31:12.0,26:48.0,yes,delayed,3,1058.57
1205,Rodney Underwood,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,34:36.0,34:36.0,no,delivered,5,1196.49
1206,Joseph Norris,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,37:48.0,26:24.0,yes,delayed,2,174.12
1207,Haley Soto,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,29:48.0,31:24.0,no,delivered,4,1060.03
1208,Scott Fox,ekart,electronics,van,express,central,foggy,52,43.18,42:54.0,29:12.0,yes,delayed,3,439.54
1209,Cathy Anderson,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,55:36.0,36:18.0,yes,delayed,2,1608.49
1210,Mary Cruz,ekart,automobile parts,van,same day,north,cold,289.2,16.14,42:12.0,36:54.0,yes,failed,1,1594.42
